"順位", "前回", "前々", "名前", "ポイント", "一押し", "コメント"
"1", "1", "1", "U.N.オーエンは彼女なのか？", "9513", "2028", "762"
"2", "2", "2", "亡き王女の為のセプテット", "9367", "1773", "682"
"3", "4", "3", "ハルトマンの妖怪少女", "6070", "779", "474"
"4", "3", "4", "幽雅に咲かせ、墨染の桜　～ Border of Life", "5874", "872", "409"
"5", "5", "6", "月まで届け、不死の煙", "5728", "713", "370"
"6", "6", "9", "ネクロファンタジア", "5311", "617", "412"
"7", "10", "－", "ピュアヒューリーズ　～ 心の在処", "5115", "785", "572"
"8", "7", "7", "神々が恋した幻想郷", "5050", "542", "395"
"9", "8", "10", "上海紅茶館　～ Chinese Tea", "5042", "757", "334"
"10", "11", "15", "恋色マスタースパーク（恋色マジック）", "4114", "333", "292"
"11", "12", "13", "砕月", "4108", "392", "297"
"12", "9", "5", "輝く針の小人族　～ Little Princess", "3939", "519", "379"
"13", "14", "14", "幽霊楽団　～ Phantom Ensemble", "3744", "488", "295"
"14", "13", "8", "感情の摩天楼　～ Cosmic Mind", "3638", "419", "291"
"15", "15", "12", "少女さとり　～ 3rd eye", "3634", "399", "262"
"16", "17", "22", "月時計　～ ルナ・ダイアル", "3415", "398", "205"
"17", "16", "11", "ラストリモート", "3303", "333", "278"
"18", "19", "20", "ネイティブフェイス", "3097", "295", "252"
"19", "18", "19", "竹取飛翔　～ Lunatic Princess", "2960", "275", "207"
"20", "20", "16", "デザイアドライブ", "2884", "272", "227"
"21", "22", "17", "千年幻想郷　～ History of the Moon", "2883", "298", "218"
"22", "23", "21", "信仰は儚き人間の為に", "2724", "265", "193"
"23", "24", "18", "メイガスナイト", "2619", "204", "245"
"24", "21", "－", "星条旗のピエロ", "2582", "139", "275"
"25", "25", "24", "風神少女", "2571", "271", "177"
"26", "27", "28", "フラワリングナイト", "2436", "175", "148"
"27", "26", "29", "少女綺想曲", "2429", "240", "182"
"28", "31", "31", "魔法少女達の百年祭", "2376", "212", "164"
"29", "29", "26", "フォールオブフォール　～ 秋めく滝", "2355", "273", "195"
